Title,Authors,,,
(19) Truck Traffic Monitoring with Satellite Images,Lynn Kaack (ETH Zurich); George H Chen (Carnegie Mellon University); Granger Morgan (Carnegie Mellon University),,,
(20) Evaluating aleatoric and epistemic uncertainties of time series deep learning models for soil moisture predictions,Chaopeng Shen (Pennsylvania State University), David R Thompson (NASA JPL/Caltech), Vijay Natraj (NASA JPL/Caltech)," Mario Parente (UMass Amherst)"""
(21) Detecting anthropogenic cloud perturbations with deep learning Best Paper Award,Duncan Watson-Parris (University of Oxford); Sam Sutherland (University of Oxford); Matthew Christensen (University of Oxford); Anthony Caterini (University of Oxford); Dino Sejdinovic (University of Oxford); Philip Stier (University of Oxford),,,
"(22) Data-driven surrogate models for climate modeling: application of echo state networks, RNN-LSTM and ANN to the multi-scale Lorenz system as a test case",Ashesh K Chattopadhyay (Rice University); Pedram Hassanzadeh (Rice University); Devika Subramanian (Rice University); Krishna Palem (Rice University); Charles Jiang (Rice University); Adam Subel (Rice University),,,
(23) Learning Radiative Transfer Models for Climate Change Applications in Imaging Spectroscopy,"Shubhankar V Deshpande (Carnegie Mellon University), Brian D Bue (NASA JPL/Caltech), David R Thompson (NASA JPL/Caltech), Vijay Natraj (NASA JPL/Caltech), Mario Parente (UMass Amherst)",,,
(24) Planetary Scale Monitoring of Urban Growth in High Flood Risk Areas,Christian F Clough (Planet); Ramesh Nair (Planet); Gopal Erinjippurath (Planet); Matt George (Planet); Jesus Martinez Manso (Planet),,,
(25) Efficient Multi-temporal and In-season Crop Mapping with Landsat Analysis Ready Data via Long Short-term Memory Networks,Jinfan Xu (Zhejiang University); Renhai Zhong (Zhejiang University); Jialu Xu (Zhejiang University); Haifeng Li (Central South University); Jingfeng Huang (Zhejiang University); Tao Lin (Zhejiang University),,,
(26) Autopilot of Cement Plants for Reduction of Fuel Consumption and Emissions,Prabal Acharyya (Petuum Inc); Sean D Rosario (Petuum Inc); Roey Flor (Petuum Inc); Ritvik Joshi (Petuum Inc); Dian Li (Petuum Inc); Roberto Linares (Petuum Inc); Hongbao Zhang (Petuum Inc),,,
(27) Towards a Sustainable Food Supply Chain Powered by Artificial Intelligence Honorable Mention,Volodymyr Kuleshov (Stanford University),,,
(28) PVNet: A LRCN Architecture for Spatio-Temporal Photovoltaic Power Forecasting from Numerical Weather Prediction,Johan Mathe (Frog Labs),,,
(29) Finding Ship-tracks Using Satellite Data to Enable Studies of Climate and Trade Related Issues,Tianle Yuan (NASA),,,
(30) Using Smart Meter Data to Forecast Grid Scale Electricity Demand,"Abraham Stanway (Amperon Holdings, Inc); Ydo Wexler (Amperon)",,,
(31) Deep Learning for Wildlife Conservation and Restoration Efforts,Clement Duhart (MIT Media Lab),,,
(32) Reinforcement Learning for Sustainable Agriculture,"Jonathan Binas (Mila, Montreal); Leonie Luginbuehl (Department of Plant Sciences, University of Cambridge); Yoshua Bengio (Mila)",,,
(33) Stratospheric Aerosol Injection as a Deep Reinforcement Learning Problem Honorable Mention,Christian A Schroeder (University of Oxford); Thomas Hornigold (University of Oxford),,,
(34) Using Natural Language Processing to Analyze Financial Climate Disclosures,Sasha Luccioni (Mila); Hector Palacios (Element AI),,,
(35) Machine Learning-based Maintenance for Renewable Energy: The Case of Power Plants in Morocco,Kris Sankaran (Montreal Institute for Learning Algorithms); Zouheir Malki (Polytechnique Montréal); Loubna Benabou (UQAR); Hicham Bouzekri (MASEN),,,
(36) GainForest: Scaling Climate Finance for Forest Conservation using Interpretable Machine Learning on Satellite Imagery,David Dao (ETH); Ce Zhang (ETH); Nick Beglinger (Cleantech21); Catherine Cang (UC Berkeley); Reuven Gonzales (OasisLabs); Ming-Da Liu Zhang (ETHZ); Nick Pawlowski (Imperial College London); Clement Fung (University of British Columbia),,,
(37) Machine Intelligence for Floods and the Built Environment Under Climate Change,Kate Duffy (Northeastern University); Auroop Ganguly (Northeastern University),,,
(38) Predicting Marine Heatwaves using Global Climate Models with Cluster Based Long Short-Term Memory,Hillary S Scannell (University of Washington); Chris Fraley (Tableau Software); Nathan Mannheimer (Tableau Software); Sarah Battersby (Tableau Software); LuAnne Thompson (University of Washington),,,
(39) ML-driven search for zero-emissions ammonia production materials,Kevin McCloskey (Google),,,
(40) Low-carbon urban planning with machine learning,Nikola Milojevic-Dupont (Mercator Research Institute on Global Commons and Climate Change (MCC)); Felix Creutzig (Mercator Research Institute on Global Commons and Climate Change (MCC)),,,
(41) The Grid Resilience & Intelligence Platform (GRIP),Ashley Pilipiszyn (Stanford University),,,
(42) Meta-Optimization of Optimal Power Flow,Mahdi Jamei (Invenia Labs); Letif Mones (Invenia Labs); Alex Robson (Invenia Labs); Lyndon White (Invenia Labs); James Requeima (Invenia Labs); Cozmin Ududec (Invenia Labs),,,
(43) Learning representations to predict landslide occurrences and detect illegal mining across multiple domains,Aneesh Rangnekar (Rochester Institute of Technology); Matthew J Hoffman (Rochester Institute of Technology),,,
(44) Harness the Power of Artificial intelligence and -Omics to Identify Soil Microbial Functions in Climate Change Projection,Yang Song (Oak Ridge National Lab); Dali Wang (Oak Ridge National Lab); Melanie Mayes (Oak Ridge National Lab),,,
(1) Warm-Starting AC Optimal Power Flow with Graph Neural Networks,Frederik Diehl (fortiss),,,
(2) Quantifying Urban Canopy Cover with Deep Convolutional Neural Networks,Bill Cai (Massachusetts Institute of Technology); Xiaojiang Li (Temple University); Carlo Ratti (Massachusetts Institute of Technology ),,,
(3) Using LSTMs for climate change assessment studies on droughts and floods,"Frederik Kratzert (LIT AI Lab, Institute for Machine Learning, Johannes Kepler University Linz, Austria); Daniel Klotz (LIT AI Lab, Institute for Machine Learning, Johannes Kepler University Linz, Austria); Johannes Brandstetter (LIT AI Lab, Institute for Machine Learning, Johannes Kepler University Linz, Austria); Pieter-Jan Hoedt (Johannes Kepler University Linz); Grey Nearing (Department of Geological Sciences, University of Alabama, Tuscaloosa, AL United States); Sepp Hochreiter (LIT AI Lab, Institute for Machine Learning, Johannes Kepler University Linz, Austria)",,,
(4) Learning to Focus and Track Hurricanes,Sookyung Kim (Lawrence Livermore National Laboratory); Sunghyun Park (Korea University); Sunghyo Chung (Kakao Corp.); Joonseok Lee (Google Research); Jaegul Choo (Korea University); Mr Prabhat (Lawrence Berkeley National Laboratory); Yunsung Lee (Korea University),,,
(5) DeepWind: Weakly Supervised Localization of Wind Turbines in Satellite Imagery,Sharon Zhou (Stanford University); Jeremy Irvin (Stanford); Zhecheng Wang (Stanford University); Ram Rajagopal (Stanford University); Andrew Ng (Stanford U.); Eva Zhang (Stanford University); Will Deaderick (Stanford University); Jabs Aljubran (Stanford University),,,
(6) Streamflow Prediction with Limited Spatially-Distributed Input Data,Martin Gauch (University of Waterloo); Juliane Mai (University of Waterloo); Shervan Gharari (University of Saskatchewan); Jimmy Lin (University of Waterloo),,,
(7) Establishing an Evaluation Metric to Quantify Climate Change Image Realism,Sharon Zhou (Stanford University); Sasha Luccioni (Mila); Gautier Cosne (Mila); Michael Bernstein (Stanford University); Yoshua Bengio (Mila),,,
(8) Energy Usage Reports: Environmental awareness as part of algorithmic accountability,Kadan Lottick (Haverford College); Silvia Susai (Haverford College); Sorelle Friedler (Haverford College); Jonathan Wilson (Haverford College),,,
(9) Natural Language Generation for Operations and Maintenance in Wind Turbines,Joyjit Chatterjee (University of Hull); Nina Dethlefs (University of Hull),,,
(10) Make Thunderbolts Less Frightening — Predicting Extreme Weather Using Deep Learning,Christian Schön (Saarland Informatics Campus); Jens Dittrich (Saarland University),,,
(11) Cumulo: A Dataset for Learning Cloud Classes Best Paper Award,Valentina Zantedeschi (Jean Monnet University); Fabrizio Falasca (Georgia Institute of Technology); Alyson Douglas (University of Wisconsin Madison); Richard Strange (University of Oxford); Matt Kusner (University College London); Duncan Watson-Parris (University of Oxford),,,
(12) Targeting Buildings for Energy Retrofit Using Recurrent Neural Networks with Multivariate Time Series,Gaby Baasch (University of Victoria),,,
(13) Coupling Oceanic Observation Systems to Study Mesoscale Ocean Dynamics,Gautier Cosne (Mila); Pierre Tandeo (IMT-Atlantique); Guillaume Maze (Ifremer),,,
(14) Background noise trends and the detection of calving events in a glacial fjord,Dara Farrell (Graduate of University of Washington),,,
(15) Reducing Inefficiency in Carbon Auctions with Imperfect Competition,Kira Goldner (Columbia University); Nicole Immorlica (Microsoft Research); Brendan Lucier (Microsoft Research New England),,,
(16) Reduction of the Optimal Power Flow Problem through Meta-Optimization,Letif Mones (Invenia Labs); Alex Robson (Invenia Labs); Mahdi Jamei (Invenia Labs); Cozmin Ududec (Invenia Labs),,,
(17) Human-Machine Collaboration for Fast Land Cover Mapping,Caleb Robinson (Georgia Institute of Technology); Anthony Ortiz (University of Texas at El Paso); Nikolay Malkin (Yale University); Blake Elias (Microsoft); Andi Peng (Microsoft); Dan Morris (Microsoft); Bistra Dilkina (University of Southern California); Nebojsa Jojic (Microsoft Research),,,
(18) A User Study of Perceived Carbon Footprint,Victor Kristof (EPFL); Valentin Quelquejay-Leclere (EPFL); Robin Zbinden (EPFL); Lucas Maystre (Spotify); Matthias Grossglauser (École Polytechnique Fédérale de Lausanne (EPFL)); Patrick Thiran (EPFL),,,
"(19) Design, Benchmarking and Graphical Lasso based Explainability Analysis of an Energy Game-Theoretic Framework",Hari Prasanna Das (UC Berkeley ); Ioannis C. Konstantakopoulos (UC Berkeley); Aummul Baneen Manasawala (UC Berkeley); Tanya Veeravalli (UC Berkeley); Huihan Liu (UC Berkeley ); Costas J. Spanos (University of California at Berkeley),,,
(20) Predicting ice flow using machine learning,Yimeng Min (Mila); Surya Karthik Mukkavilli (Mila); Yoshua Bengio (Mila),,,
(21) DeepClimGAN: A High-Resolution Climate Data Generator,Alexandra Puchko (Western Washington University); Brian Hutchinson (Western Washington University); Robert Link (Joint Global Change Research Institute),,,
(22) Quantifying the Carbon Emissions of Machine Learning,Sasha Luccioni (Mila); Victor Schmidt (Mila); Alexandre Lacoste (Element AI); Thomas Dandres (Polytechnique Montreal),,,
(23) Measuring Impact of Climate Change on Tree Species: analysis of JSDM on FIA data Honorable Mention,Hyun Choi (University of Florida); Sergio Marconi (University of Florida); Ali Sadeghian (University of Florida); Ethan White (University of Florida); Daisy Zhe Wang (Univeresity of Florida),,,
(24) A Global Census of Solar Facilities Using Deep Learning and Remote Sensing Honorable Mention,Lucas Kruitwagen (University of Oxford); Kyle Story (Descartes Labs); Johannes Friedrich (World Resource Institute); Sam Skillman (Descartes Labs); Cameron Hepburn (University of Oxford),,,
(25) Machine Learning for Precipitation Nowcasting from Radar Images,Shreya Agrawal (Google); Luke Barrington (Google); Carla Bromberg (Google); John Burge (Google); Cenk Gazen (Google); Jason Hickey (Google),,,
(26) Enhancing Stratospheric Weather Analyses and Forecasts by Deploying Sensors from a Weather Balloon,Kiwan Maeng (Carnegie Mellon University); Iskender Kushan (Microsoft); Brandon Lucia (Carnegie Mellon University); Ashish Kapoor (Microsoft),,,
(27) Automatic data cleaning via tensor factorization for large urban environmental sensor networks,Yue Hu (Vanderbilt University); Yanbing Wang (Vanderbilt University); Canwen Jiao (Vanderbilt University); Rajesh Sankaran (Argonne National Lab); Charles Catlett (Argonne National Lab); Daniel Work (Vanderbilt University),,,
(28) Identify Solar Panels in Low Resolution Satellite Imagery with Siamese Architecture and Cross-Correlation,Zhengcheng Wang (Tsinghua University); Zhecheng Wang (Stanford University); Arun Majumdar (Stanford University); Ram Rajagopal (Stanford University),,,
(29) VideoGasNet: Deep Learning for Natural Gas Methane Leak Classification Using An Infrared Camera,Jingfan Wang (Stanford University),,,
(30) Detecting Avalanche Deposits using Variational Autoencoder on Sentinel-1 Satellite Imagery,"Saumya Sinha (University of Colorado, Boulder); Sophie Giffard-Roisin (University of Colorado Boulder); Fatima Karbou (Meteo France); Michael Deschatres (Irstea); Nicolas Eckert (Irstea); Anna Karas (Meteo France); Cécile Coléou (Meteo France); Claire Monteleoni (University of Colorado Boulder)",,,
(31) Fine-Grained Distribution Grid Mapping Using Street View Imagery,Qinghu Tang (Tsinghua University); Zhecheng Wang (Stanford University); Arun Majumdar (Stanford University); Ram Rajagopal (Stanford University),,,
(32) Bayesian optimization with theory-based constraints accelerates search for stable photovoltaic perovskite materials,Armi Tiihonen (Massachusetts Institute of Technology),,,
(33) Increasing performance of electric vehicles in ride-hailing services using deep reinforcement learning,Jon Donadee (LLNL); Jacob Pettit (LLNL); Ruben Glatt (LLNL); Brenden Petersen (Lawrence Livermore National Laboratory),,,
(34) Stripping off the implementation complexity of physics-based model predictive control for buildings via deep learning,Jan Drgona (Pacific Northwest National Laboratory); Lieve Helsen (KU Leuven); Draguna Vrabie (PNNL),,,
(35) Machine learning identifies the most valuable synthesis conditions for next-generation photovoltaics Best Paper Award,Felipe Oviedo (MIT) and Zekun Ren (MIT),,,
(36) Helping Reduce Environmental Impact of Aviation with Machine Learning Best Paper Award,Ashish Kapoor (Microsoft),,,
(37) Machine Learning for Generalizable Prediction of Flood Susceptibility,Dylan Fitzpatrick (Carnegie Mellon University); Chelsea Sidrane (Stanford University); Andrew Annex (Johns Hopkins University); Diane O'Donoghue (kx); Piotr Bilinski (University of Warsaw),,,
(38) A Deep Learning-based Framework for the Detection of Schools of Herring in Echograms,Alireza Rezvanifar (University of Victoria); Tunai Porto Marques (University of Victoria ); Melissa Cote (University of Victoria); Alexandra Branzan Albu (University of Victoria); Alex Slonimer (ASL Environmental Sciences); Thomas Tolhurst (ASL Environmental Sciences ); Kaan Ersahin (ASL Environmental Sciences ); Todd Mudge (ASL Environmental Sciences ); Stephane Gauthier (Fisheries and Oceans Canada),,,
(39) Emulating Numeric Hydroclimate Models with Physics-Informed cGANs Honorable Mention,"Ashray Manepalli (terrafuse); Adrian Albert (terrafuse, inc.); Alan Rhoades (Lawrence Berkeley National Lab); Daniel Feldman (Lawrence Berkeley National Lab)",,,
(40) Forecasting El Niño with Convolutional and Recurrent Neural Networks,"Ankur Mahesh (ClimateAi); Maximilian Evans (ClimateAi); Garima Jain (ClimateAi); Mattias Castillo (ClimateAi); Aranildo Lima (ClimateAi); Brent Lunghino (ClimateAi); Himanshu Gupta (ClimateAi); Carlos Gaitan (ClimateAi); Jarrett Hunt (ClimateAi); Omeed Tavasoli (ClimateAi); Patrick Brown (ClimateAi, San Jose State University); V. Balaji (Geophysical Fluid Dynamics Laboratory)",,,
(41) Deep learning predictions of sand dune migration,Kelly Kochanski (University of Colorado Boulder); Divya Mohan (University of California Berkeley); Jenna Horrall (James Madison University); Ghaleb Abdulla (Lawrence Livermore National Laboratory),,,
(42) Predictive Inference of a Wildfire Risk Pipeline in the United States,Shamindra Shrotriya (Carnegie Mellon University); Niccolo Dalmasso (Carnegie Mellon University); Alex Reinhart (Carnegie Mellon University),,,
(43) FutureArctic - beyond Computational Ecology,Steven Latre (UAntwerpen); Dimitri Papadimitriou (UAntwerpen); Ivan Janssens (UAntwerpen); Eric Struyf (UAntwerpen); Erik Verbruggen (UAntwerpen); Ivika Ostonen (UT); Josep Penuelas (UAB); Boris Rewald (RootEcology); Andreas Richter (University of Vienna); Michael Bahn (University of Innsbruck),,,
(44) Machine Learning-based Estimation of Forest Carbon Stocks to increase Transparency of Forest Preservation Efforts,Björn Lütjens (MIT); Lucas Liebenwein (Massachusetts Institute of Technology); Katharina Kramer (Massachusetts Institute of Technology),,,
(45) DeepRI: End-to-end Prediction of Tropical Cyclone Rapid Intensification from Climate Data,Renzhi Jing (Princeton University); Ning Lin (Princeton University); Yinda Zhang (Google LLC),,,
(46) Autonomous Sensing and Scientific Machine Learning for Monitoring Greenhouse Gas Emissions,Genevieve Flaspohler (MIT); Victoria Preston (MIT); Nicholas Roy (MIT); John Fisher (MIT); Adam Soule (Woods Hole Oceanographic Institution); Anna Michel (Woods Hole Oceanographic Institution),,,
(47) Optimizing trees for carbon sequestration,Jeremy Freeman,,,
(48) Toward Resilient Cities: Using Deep Learning to Downscale Climate Model Projections,Muge Komurcu (MIT); Zikri Bayraktar (IEEE),,,
(49) Towards self-adaptive building energy control in smart grids,Juan Gómez-Romero (Universidad de Granada); Miguel Molina-Solana (Imperial College London),,,
(50) Predicting Arctic Methane Seeps via Satellite Imagery,Olya (Olga) Irzak (Frost Methane Labs); Amber Leigh Thomas (Stanford); Stephanie Schneider (Stanford); Catalin Voss (Stanford University),,,
(51) GeoLabels: Towards Efficient Ecosystem Monitoring using Data Programming on Geospatial Information,David Dao (ETH); Johannes Rausch (ETH Zurich); Ce Zhang (ETH),,,
(52) A deep learning approach for classifying black carbon aerosol morphology,Kara Lamb (Cooperative Institute for Research in the Environmental Sciences),,,
